com.samsung.shealth.tracker.pedometer_step_count,6272009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
26273,4,0,39,2024-08-04 19:23:00.000,,,2024-08-04 19:23:42.835,2024-08-04 19:23:42.310,39,1.1071962,29.09,1.92,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:24:00.000,1af942b6-4f89-4b1e-a414-3a8b417410aa,
13122,4,0,19,2024-08-04 19:07:00.000,,,2024-08-04 19:15:00.373,2024-08-04 19:15:00.373,19,1.1111112,14.580017,0.9900017,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:08:00.000,7d34db02-434c-4a62-a698-5e6fbbd366d0,
15308,4,0,23,2024-08-04 19:08:00.000,,,2024-08-04 19:15:00.538,2024-08-04 19:15:00.538,23,1.1666666,17.859985,1.1500015,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:09:00.000,2ea3224d-0928-45b8-a79c-1274928372cd,
15081,4,22,20,2024-08-04 19:10:00.000,,,2024-08-04 19:16:47.762,2024-08-04 19:16:47.762,42,2.5833333,38.960022,3.5800018,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:11:00.000,c9da58ed-2f04-4e5e-91a7-8ba9f57a2fda,
8717,4,0,15,2024-08-04 19:12:00.000,,,2024-08-04 19:17:49.791,2024-08-04 19:17:49.791,15,1.4166666,12.349976,0.84000015,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:13:00.000,870e3480-5941-4a2a-889e-7a73f59e67e1,
12747,4,1,24,2024-08-04 19:13:00.000,,,2024-08-04 19:17:49.908,2024-08-04 19:17:49.908,25,1.6944444,21.599976,1.4399986,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:14:00.000,2f8f3ef0-b4e5-457e-aa84-281efd424857,
20244,4,0,46,2024-08-04 19:14:00.000,,,2024-08-04 19:17:50.059,2024-08-04 19:17:50.059,46,1.8888891,38.23999,2.1800003,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:15:00.000,9080b19d-7308-4d29-a59a-4cc3a4cd610f,
7464,4,4,14,2024-08-04 19:16:00.000,,,2024-08-04 19:24:40.792,2024-08-04 19:24:40.792,18,2.1944444,16.380005,1.2799988,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:17:00.000,8191f663-3801-40b4-b4e0-820fc595971c,
9765,4,16,11,2024-08-04 19:17:00.000,,,2024-08-04 19:24:41.127,2024-08-04 19:24:41.127,27,2.6111112,25.5,2.3100014,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:18:00.000,cc086027-1331-4805-96b3-a5121e8c7b94,
10736,4,3,20,2024-08-04 19:18:00.000,,,2024-08-04 19:24:41.323,2024-08-04 19:24:41.323,23,1.8888891,20.28003,1.5600014,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:19:00.000,cad5679b-1431-4d2c-84f7-d337dc7535a4,
