com.samsung.shealth.stress,6272009,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62620030,2024-02-05 13:00:00.000,,13b05a90-3d67-44b9-b39d-1a9aa9226ad3.binning_data.json,10011,62620030,2024-02-05 15:21:28.293,2024-02-05 15:21:28.293,82.0,2.0,49.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 13:59:59.999,13b05a90-3d67-44b9-b39d-1a9aa9226ad3,
62620030,2024-02-05 15:00:00.000,,fb5b8054-16f1-43fa-a616-ffa77f7d4b5e.binning_data.json,10011,62620030,2024-02-05 16:13:49.442,2024-02-05 16:13:49.442,49.0,3.0,29.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 15:59:59.999,fb5b8054-16f1-43fa-a616-ffa77f7d4b5e,
62620030,2024-02-05 16:00:00.000,,7ebda1f7-2328-4144-b503-7929db12651b.binning_data.json,10011,62620030,2024-02-05 17:14:33.989,2024-02-05 17:14:33.989,4.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 16:59:59.999,7ebda1f7-2328-4144-b503-7929db12651b,
62620030,2024-02-05 17:00:00.000,,bfa32dde-8352-4414-8605-fc242922d842.binning_data.json,10011,62620030,2024-02-05 18:07:13.490,2024-02-05 18:07:13.490,100.0,0.0,5.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 17:59:59.999,bfa32dde-8352-4414-8605-fc242922d842,
62620030,2024-02-05 18:00:00.000,,bf9ded44-7fac-4185-9ea8-adf073c18730.binning_data.json,10011,62620030,2024-02-05 19:13:07.302,2024-02-05 19:13:07.302,100.0,0.0,50.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 18:59:59.999,bf9ded44-7fac-4185-9ea8-adf073c18730,
62620030,2024-02-05 19:00:00.000,,49fa4df8-0618-4be8-9872-48eb982dab4d.binning_data.json,10011,62620030,2024-02-05 20:20:41.793,2024-02-05 20:20:41.793,96.0,0.0,31.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 19:59:59.999,49fa4df8-0618-4be8-9872-48eb982dab4d,
62620030,2024-02-05 20:00:00.000,,acee7434-71e9-4836-852b-9b64c11406cb.binning_data.json,10011,62620030,2024-02-05 21:05:32.698,2024-02-05 21:05:32.698,95.0,12.0,33.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 20:59:59.999,acee7434-71e9-4836-852b-9b64c11406cb,
62620030,2024-02-05 21:00:00.000,,437dd639-107c-40a5-8d23-9ee649744a27.binning_data.json,10011,62620030,2024-02-05 22:18:36.215,2024-02-05 22:18:36.215,100.0,8.0,75.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 21:59:59.999,437dd639-107c-40a5-8d23-9ee649744a27,
62620030,2024-02-05 22:00:00.000,,50a5254b-c814-4937-9120-c6e86dc57860.binning_data.json,10011,62620030,2024-02-05 23:05:12.899,2024-02-05 23:05:12.899,71.0,0.0,15.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 22:59:59.999,50a5254b-c814-4937-9120-c6e86dc57860,
62620030,2024-02-05 23:00:00.000,,d0902527-77dd-433d-b005-e15fa6cf5252.binning_data.json,10011,62620030,2024-02-06 00:10:42.289,2024-02-06 00:10:42.289,10.0,0.0,1.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 23:59:59.999,d0902527-77dd-433d-b005-e15fa6cf5252,
