com.samsung.shealth.rewards,6272009,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-11-15 05:00:00.000,,10009,,2021-11-21 05:00:11.106,2021-11-15 18:05:15.873,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":10061}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-15 05:00:00.000,87d55db0-af20-43bf-ab85-31d0784980df,1,
,2021-11-17 05:00:00.000,,10009,,2021-11-23 05:00:04.182,2021-11-17 19:12:38.410,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":10250}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-17 05:00:00.000,76406ffb-bab9-4de2-a61b-0d935871ffb3,1,
,2021-11-18 05:00:00.000,,10009,,2021-11-24 05:00:35.224,2021-11-18 19:43:17.819,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":11306}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-18 05:00:00.000,a9eb196a-3d69-451d-8dab-c7a7c217f4be,1,
,2021-11-18 05:00:00.000,,10009,,2021-11-20 05:00:01.619,2021-11-19 03:00:23.604,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":11306}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-18 05:00:00.000,405ba24d-1ee5-492a-aa38-7c0655d920b4,1,
,2021-11-19 05:00:00.000,,10009,,2021-11-25 05:00:03.249,2021-11-19 20:13:47.934,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":11211}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-19 05:00:00.000,acf26e9d-d017-4a87-b3f4-855bcfe506da,1,
,2021-11-22 05:00:00.000,,10009,,2021-11-28 05:00:03.908,2021-11-22 20:17:00.922,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6562}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-22 05:00:00.000,d01c890e-9760-4a78-ab6b-ad6327913921,1,
,2021-11-23 05:00:00.000,,10009,,2021-11-29 05:00:03.479,2021-11-23 19:44:20.209,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9330}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-23 05:00:00.000,b6b16e3f-b4c5-4717-9f18-66be6c66b593,1,
,2021-11-24 05:00:00.000,,10009,,2021-11-30 05:00:03.405,2021-11-24 20:00:41.240,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8789}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-24 05:00:00.000,3a2dea32-7489-41fc-9bde-2c99abf6d57e,1,
,2021-11-29 05:00:00.000,,10009,,2021-12-05 05:15:57.350,2021-11-29 16:30:32.520,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9510}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-29 05:00:00.000,52ac9c93-7f6c-4760-8996-6eae1a2570cd,1,
,2021-11-30 05:00:00.000,,10009,,2021-12-06 05:04:02.978,2021-11-30 19:44:45.814,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9437}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-30 05:00:00.000,35175ac0-5b48-48af-8e45-d73e11852b2a,1,
,2021-12-01 05:00:00.000,,10009,,2021-12-07 05:25:16.116,2021-12-01 19:54:18.046,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8464}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-01 05:00:00.000,3aa72f36-2432-4f20-b152-040f5395c6cc,1,
,2021-12-02 05:00:00.000,,10009,,2021-12-08 05:00:08.236,2021-12-03 04:05:54.187,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6174}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-02 05:00:00.000,28497805-0a20-41d8-9c58-b1ea2269a95f,1,
,2021-12-03 05:00:00.000,,10009,,2021-12-09 05:02:14.404,2021-12-04 02:21:58.225,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6094}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-03 05:00:00.000,8e18dd95-2255-4c86-90fd-eed56b31db50,1,
,2021-12-04 05:00:00.000,,10009,,2021-12-10 05:02:27.504,2021-12-04 19:17:39.309,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9340}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-04 05:00:00.000,50c0e518-66ab-4969-b36c-2369d083f40f,1,
,2021-12-06 05:00:00.000,,10009,,2021-12-12 05:09:39.078,2021-12-06 19:17:10.097,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9316}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-06 05:00:00.000,84d5dded-7135-4ecb-94f4-28b5a5e7a79e,1,
