com.samsung.shealth.report,6272009,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1654401600000,2022-06-12 17:46:33.433,2022-06-12 17:46:31.802,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,103c28b6-4910-4aec-a34e-c6c7807ece3c,103c28b6-4910-4aec-a34e-c6c7807ece3c.compressed_content.json,
America/Toronto,1655006400000,2022-06-19 19:20:15.387,2022-06-19 19:20:13.900,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,a70b2a66-80fb-4f92-9cd8-4130028e7f24,a70b2a66-80fb-4f92-9cd8-4130028e7f24.compressed_content.json,
America/Toronto,1659240000000,2022-08-08 17:59:02.668,2022-08-08 17:59:01.367,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,03f6408d-5bbc-499f-b24f-aca28ead0e63,03f6408d-5bbc-499f-b24f-aca28ead0e63.compressed_content.json,
America/Toronto,1661054400000,2022-08-31 17:55:56.766,2022-08-31 17:55:56.766,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,5195e618-1391-49b8-a8c3-7591eb0a0e89,5195e618-1391-49b8-a8c3-7591eb0a0e89.compressed_content.json,
America/Toronto,1664078400000,2022-10-05 18:12:15.249,2022-10-05 18:12:15.249,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,1546b432-7b91-4227-9420-0d8ea5d9dcae,1546b432-7b91-4227-9420-0d8ea5d9dcae.compressed_content.json,
America/Toronto,1667707200000,2022-11-13 18:45:46.568,2022-11-13 18:45:46.568,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,45d5ac2d-fe38-484c-9c70-444d094a3582,45d5ac2d-fe38-484c-9c70-444d094a3582.compressed_content.json,
America/Toronto,1668920400000,2022-11-29 18:46:33.660,2022-11-29 18:46:33.660,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,1e0a6743-f7fe-4968-9f64-5c1795b52d41,1e0a6743-f7fe-4968-9f64-5c1795b52d41.compressed_content.json,
America/Toronto,1669525200000,2022-12-10 19:58:14.174,2022-12-10 19:58:14.174,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,9f093c21-44eb-44dd-84d6-5ba6b6e93c6c,9f093c21-44eb-44dd-84d6-5ba6b6e93c6c.compressed_content.json,
America/Toronto,1670130000000,2022-12-12 19:06:29.036,2022-12-12 19:06:29.036,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,d867bbff-e23d-4f1b-8202-2d292411b7aa,d867bbff-e23d-4f1b-8202-2d292411b7aa.compressed_content.json,
America/Toronto,1671339600000,2022-12-26 18:47:34.167,2022-12-26 18:47:34.167,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,358518e8-0b7c-4912-a2b1-19b95a51870e,358518e8-0b7c-4912-a2b1-19b95a51870e.compressed_content.json,
